Date, Barrett, Bundy, Hoerner, Mills, OA, Warren, Wilson
2012-03-09 00:00:00, , , , , , , 16.1
2012-03-10 00:00:00, , , , , , 16.4, 15.7
2012-03-11 00:00:00, , , , , , 15.4, 14.7
2012-03-12 00:00:00, , , , , , 16.7, 14.6
2012-03-13 00:00:00, , , , , , 16.3, 15.8
2012-03-14 00:00:00, , , , , , 16.5, 15.2
2012-03-15 00:00:00, , , , , , 17.7, 14.9
2012-03-16 00:00:00, , 28.4, , , , 17.1, 15.4
2012-03-17 00:00:00, , 29.1, , , , 16.9, 15.5
2012-03-18 00:00:00, 58.2, 29.3, , , , 17.1, 16.4
2012-03-19 00:00:00, 58.2, 31.4, , , , 17.8, 16.1
2012-03-20 00:00:00, 58.2, 33.0, , , , 17.9, 17.1
2012-03-21 00:00:00, 59.7, 29.3, , , , 17.5, 16.6
2012-03-22 00:00:00, 59.6, 28.2, , , , 17.8, 16.6
2012-03-23 00:00:00, 47.7, 28.4, , , , 17.1, 16.6
2012-03-24 00:00:00, 45.4, 29.1, , , , 17.5, 16.8
2012-03-25 00:00:00, 57.9, 29.3, , , , 16.9, 17.2
2012-03-26 00:00:00, 39.9, 31.4, , , , 16.2, 16.7
2012-03-27 00:00:00, 46.6, 33.0, , , , 16.0, 16.7
2012-03-28 00:00:00, 55.0, 29.3, , , , 16.9, 16.1
2012-03-29 00:00:00, 30.8, 28.2, , , , 17.2, 17.0
2012-03-30 00:00:00, 47.5, 28.4, , , , 16.7, 16.4
2012-03-31 00:00:00, 26.9, 29.1, , , , 16.1, 16.3
2012-04-01 00:00:00, 58.1, 29.3, , , , 15.5, 16.5
2012-04-02 00:00:00, 44.1, 31.4, , , , 16.1, 15.0
2012-04-03 00:00:00, 46.2, 33.0, , , , 17.2, 16.4
2012-04-04 00:00:00, 45.8, 29.3, , , , 16.6, 16.4
2012-04-05 00:00:00, 28.2, 28.2, , , , 15.8, 17.1
2012-04-06 00:00:00, 27.4, 28.4, , , , 16.9, 17.1
