Date, Barrett, Bundy, Hoerner, Mills, OA, Warren, Wilson
2012-03-09 00:00:00, , , , , , , 11.1
2012-03-10 00:00:00, , , , , , 11.4, 9.7
2012-03-11 00:00:00, , , , , , 11.9, 10.1
2012-03-12 00:00:00, , , , , , 11.8, 9.5
2012-03-13 00:00:00, , , , , , 11.2, 9.4
2012-03-14 00:00:00, , , , , , 11.3, 9.4
2012-03-15 00:00:00, , , , , , 11.5, 9.4
2012-03-16 00:00:00, , 9.6, , , , 12.2, 9.3
2012-03-17 00:00:00, , 9.6, , , , 12.3, 9.4
2012-03-18 00:00:00, 0.0, 10.2, , , , 12.5, 9.6
2012-03-19 00:00:00, 11.0, 10.5, , , , 11.6, 9.6
2012-03-20 00:00:00, 11.5, 10.0, , , , 11.9, 9.6
2012-03-21 00:00:00, 11.1, 10.3, , , , 11.9, 9.8
2012-03-22 00:00:00, 18.0, 9.6, , , , 11.4, 10.0
2012-03-23 00:00:00, 10.2, 9.6, , , , 11.6, 10.0
2012-03-24 00:00:00, 8.1, 9.6, , , , 12.3, 9.9
2012-03-25 00:00:00, 8.8, 10.2, , , , 11.0, 9.5
2012-03-26 00:00:00, 8.6, 10.5, , , , 11.2, 9.6
2012-03-27 00:00:00, 8.8, 10.0, , , , 11.0, 9.2
2012-03-28 00:00:00, 10.0, 10.3, , , , 11.3, 10.1
2012-03-29 00:00:00, 8.8, 9.6, , , , 11.4, 9.4
2012-03-30 00:00:00, 8.4, 9.6, , , , 11.4, 9.8
2012-03-31 00:00:00, 8.4, 9.6, , , , 11.2, 9.9
2012-04-01 00:00:00, 8.4, 10.2, , , , 11.2, 9.8
2012-04-02 00:00:00, 8.4, 10.5, , , , 11.0, 9.5
2012-04-03 00:00:00, 9.8, 10.0, , , , 10.8, 9.3
2012-04-04 00:00:00, 9.2, 10.3, , , , 11.2, 9.9
2012-04-05 00:00:00, 8.3, 9.6, , , , 10.9, 9.5
2012-04-06 00:00:00, 8.3, 9.6, , , , 11.2, 9.9
2012-04-07 00:00:00, 8.7, 9.6, , , , 11.1, 9.7
2012-04-08 00:00:00, 8.8, 10.2, , , , 12.5, 9.7
2012-04-09 00:00:00, 8.4, 10.5, , , , 10.9, 9.3
2012-04-10 00:00:00, 8.4, 10.0, , , , 11.6, 9.2
2012-04-11 00:00:00, 8.8, 10.3, , , , 11.0, 9.3
2012-04-12 00:00:00, 8.6, 9.6, , , , 11.1, 9.5
2012-04-13 00:00:00, 8.6, 10.0, , , , 10.8, 9.4
2012-04-14 00:00:00, 9.5, 9.8, , , , 11.1, 9.6
2012-04-15 00:00:00, 9.9, 10.0, , , , 11.6, 9.6
2012-04-16 00:00:00, 9.9, 10.5, , , , 11.3, 10.2
2012-04-17 00:00:00, 8.8, 10.0, , , , 11.0, 8.9
2012-04-18 00:00:00, 8.4, 9.9, , , , 11.1, 8.9
2012-04-19 00:00:00, 8.9, 10.1, , , , 10.8, 9.0
2012-04-20 00:00:00, 9.6, 10.3, , , , 10.8, 9.3
2012-04-21 00:00:00, 9.2, 10.2, , , , 11.0, 9.4
2012-04-22 00:00:00, 9.3, 10.0, , , , 11.0, 9.4
2012-04-23 00:00:00, 9.2, 10.0, , , , 11.0, 9.3
2012-04-24 00:00:00, 9.4, 10.0, , , , 10.8, 9.3
2012-04-25 00:00:00, 9.3, 10.1, , , , 11.3, 9.1
2012-04-26 00:00:00, 9.6, 10.2, , , , 11.9, 9.5
2012-04-27 00:00:00, 8.8, 9.4, , , , 10.9, 9.4
2012-04-28 00:00:00, 8.7, 9.8, , , , 11.2, 9.6
2012-04-29 00:00:00, 9.0, 9.2, , , , 11.4, 9.5
2012-04-30 00:00:00, 9.7, 9.4, , , , 11.2, 9.2
2012-05-01 00:00:00, 10.4, 9.7, , , , 11.2, 9.2
2012-05-02 00:00:00, 9.2, 9.8, , , , 12.1, 9.7
2012-05-03 00:00:00, 18.3, 10.7, , , , 11.9, 10.5
2012-05-04 00:00:00, 23.8, 9.5, , , , 11.6, 9.6
2012-05-05 00:00:00, 17.3, 9.0, , , , 11.3, 9.2
2012-05-06 00:00:00, 8.2, 8.7, , , , 10.9, 8.7
2012-05-07 00:00:00, 15.9, 9.2, , , , 11.7, 10.0
2012-05-08 00:00:00, 7.1, 9.8, , , , 10.9, 8.9
2012-05-09 00:00:00, 7.9, 9.4, , , , 10.8, 9.2
2012-05-10 00:00:00, 6.9, 9.5, , , , 11.1, 9.3
2012-05-11 00:00:00, 7.8, 9.4, , , , 10.5, 9.1
2012-05-12 00:00:00, 7.6, 9.4, , , , 10.5, 10.2
2012-05-13 00:00:00, 6.5, 9.5, , , , 10.5, 10.4
2012-05-14 00:00:00, 9.3, 10.1, , , , 11.3, 11.4
2012-05-20 00:00:00, 7.1, 8.4, , , , 10.5, 8.2
2012-05-21 00:00:00, 5.3, 8.3, , , , 10.5, 8.5
2012-05-22 00:00:00, 4.7, 8.4, , , , 10.8, 8.3
2012-05-23 00:00:00, 4.7, 8.4, , , , 10.5, 8.6
2012-05-24 00:00:00, 5.1, 8.7, , , , 10.8, 8.1
2012-05-25 00:00:00, 5.3, 8.4, , , , 10.6, 7.9
2012-05-26 00:00:00, 21.8, 8.4, , , , 10.5, 8.0
2012-05-27 00:00:00, 22.1, 8.5, , , , 10.4, 7.9
2012-05-28 00:00:00, 23.0, 9.4, , , , 11.5, 9.2
2012-05-30 00:00:00, 5.2, 8.8, , , , 11.1, 8.3
2012-05-31 00:00:00, 3.9, 8.7, , , , 11.0, 8.4
2012-06-01 00:00:00, 1.5, 8.7, , , , 10.8, 8.3
2012-06-02 00:00:00, 1.5, 8.8, , , , 11.1, 8.6
2012-06-03 00:00:00, 4.6, 8.6, , , , 10.8, 8.2
2012-06-04 00:00:00, 5.1, 8.6, , , , 10.8, 8.1
2012-06-05 00:00:00, 4.5, 10.4, , , , 10.8, 8.2
2012-06-06 00:00:00, 4.7, 10.5, , , , 10.7, 8.0
2012-06-07 00:00:00, 3.9, 10.4, , , , 10.8, 7.9
2012-06-08 00:00:00, 4.6, 10.4, , , , 10.6, 7.9
2012-06-09 00:00:00, 4.9, 10.5, , , , 10.7, 7.9
2012-06-10 00:00:00, 5.0, 10.4, , , , 10.5, 7.9
2012-06-11 00:00:00, 5.4, 10.5, , , , 10.6, 7.9
2012-06-12 00:00:00, 5.1, 11.0, , , , 10.6, 8.0
2012-06-13 00:00:00, 4.0, 10.3, , , , 10.7, 8.0
2012-06-14 00:00:00, 2.9, 10.4, , , , 10.5, 7.9
2012-06-15 00:00:00, 4.4, 10.4, , , , 10.5, 8.8
2012-06-16 00:00:00, 4.4, 10.2, , , , 10.4, 8.7
2012-06-17 00:00:00, 4.4, 10.2, , , , 10.4, 8.7
2012-06-18 00:00:00, 5.1, 10.2, , , , 10.4, 8.6
2012-06-22 00:00:00, 5.0, 10.3, , , , 10.6, 9.2
2012-06-23 00:00:00, 4.8, 10.3, , , , 10.1, 8.7
2012-06-24 00:00:00, 5.1, 10.3, , , , 10.5, 8.6
2012-06-25 00:00:00, 5.7, 10.3, , , , 10.4, 8.7
2012-06-26 00:00:00, 4.9, 10.2, , , 8.8, 10.5, 9.1
2012-06-27 00:00:00, 4.8, 10.8, , , 8.5, 10.4, 8.9
2012-06-28 00:00:00, 4.7, 10.6, , , 8.9, 10.4, 8.7
2012-06-29 00:00:00, 5.2, 10.7, , , 6.2, 10.9, 8.7
2012-06-30 00:00:00, 5.3, 10.3, , , 5.7, 11.5, 9.0
2012-07-01 00:00:00, 4.6, 10.3, , , 4.7, 11.1, 9.2
2012-07-02 00:00:00, 5.2, 10.3, , , 5.6, 10.6, 9.3
2012-07-05 00:00:00, 22.5, 10.6, , , 16.4, 10.3, 9.0
2012-07-06 00:00:00, 23.4, 10.4, , , 6.3, 10.3, 9.6
2012-07-07 00:00:00, 22.7, 10.3, , , 15.0, 10.4, 9.1
2012-07-08 00:00:00, 6.5, 10.4, , , 15.0, 10.5, 9.2
2012-07-09 00:00:00, 5.8, 10.4, , , 5.9, 10.5, 9.2
2012-07-10 00:00:00, 5.4, 10.3, , , 5.7, 10.5, 9.2
