Date, Barrett, Bundy, Hoerner, Mills, OA, Warren, Wilson
2012-03-09 17:00:00, , , , , , , 12.0
2012-03-09 18:00:00, , , , , , 13.6, 13.8
2012-03-09 19:00:00, , , , , , 14.5, 14.8
2012-03-09 20:00:00, , , , , , 14.8, 16.1
2012-03-09 21:00:00, , , , , , 15.0, 16.0
2012-03-09 22:00:00, , , , , , 15.1, 15.7
2012-03-09 23:00:00, , , , , , 15.6, 15.4
2012-03-10 00:00:00, , , , , , 14.5, 14.3
2012-03-10 01:00:00, , , , , , 14.9, 14.9
2012-03-10 02:00:00, , , , , , 13.8, 13.8
2012-03-10 03:00:00, , , , , , 14.0, 14.0
2012-03-10 04:00:00, , , , , , 14.0, 13.4
2012-03-10 05:00:00, , , , , , 13.4, 13.0
2012-03-10 06:00:00, , , , , , 13.1, 13.3
2012-03-10 07:00:00, , , , , , 12.8, 12.1
2012-03-10 08:00:00, , , , , , 13.4, 13.4
2012-03-10 09:00:00, , , , , , 13.3, 13.2
2012-03-10 10:00:00, , , , , , 13.0, 12.4
2012-03-10 11:00:00, , , , , , 13.6, 12.5
2012-03-10 12:00:00, , , , , , 13.8, 12.7
2012-03-10 13:00:00, , , , , , 13.9, 12.9
2012-03-10 14:00:00, , , , , , 13.8, 14.0
2012-03-10 15:00:00, , , , , , 13.6, 13.7
2012-03-10 16:00:00, , , , , , 14.3, 14.4
2012-03-10 17:00:00, , , , , , 13.7, 12.5
2012-03-10 18:00:00, , , , , , 13.9, 12.9
2012-03-10 19:00:00, , , , , , 14.2, 14.5
2012-03-10 20:00:00, , , , , , 14.6, 15.1
2012-03-10 21:00:00, , , , , , 16.4, 15.3
2012-03-10 22:00:00, , , , , , 15.6, 15.7
2012-03-10 23:00:00, , , , , , 14.9, 14.7
2012-03-11 00:00:00, , , , , , 14.5, 13.6
2012-03-11 01:00:00, , , , , , 14.3, 13.8
2012-03-11 03:00:00, , , , , , 13.9, 14.0
2012-03-11 04:00:00, , , , , , 13.7, 13.4
2012-03-11 05:00:00, , , , , , 13.9, 12.8
2012-03-11 06:00:00, , , , , , 13.5, 12.8
2012-03-11 07:00:00, , , , , , 13.2, 12.5
2012-03-11 08:00:00, , , , , , 13.3, 12.1
2012-03-11 09:00:00, , , , , , 13.2, 12.7
2012-03-11 10:00:00, , , , , , 13.6, 12.9
2012-03-11 11:00:00, , , , , , 13.7, 14.5
2012-03-11 12:00:00, , , , , , 13.9, 14.0
2012-03-11 13:00:00, , , , , , 13.7, 13.7
2012-03-11 14:00:00, , , , , , 14.4, 13.6
2012-03-11 15:00:00, , , , , , 13.9, 13.2
2012-03-11 16:00:00, , , , , , 14.0, 12.6
2012-03-11 17:00:00, , , , , , 14.3, 12.4
2012-03-11 18:00:00, , , , , , 14.6, 12.5
2012-03-11 19:00:00, , , , , , 14.6, 14.5
2012-03-11 20:00:00, , , , , , 15.0, 14.7
2012-03-11 21:00:00, , , , , , 15.4, 14.5
2012-03-11 22:00:00, , , , , , 15.4, 14.4
2012-03-11 23:00:00, , , , , , 15.2, 14.5
2012-03-12 00:00:00, , , , , , 15.6, 14.1
2012-03-12 01:00:00, , , , , , 14.7, 14.0
2012-03-12 02:00:00, , , , , , 14.9, 13.5
2012-03-12 03:00:00, , , , , , 14.9, 13.7
2012-03-12 04:00:00, , , , , , 14.3, 13.2
2012-03-12 05:00:00, , , , , , 14.4, 12.1
2012-03-12 06:00:00, , , , , , 13.6, 12.0
2012-03-12 07:00:00, , , , , , 13.9, 12.9
