Date, Barrett, Bundy, Hoerner, Mills, OA, Warren, Wilson
2012-03-09 17:00:00, , , , , , , 23.1
2012-03-09 18:00:00, , , , , , 302.4, 302.3
2012-03-09 19:00:00, , , , , , 807.9, 799.5
2012-03-09 20:00:00, , , , , , 832.7, 876.0
2012-03-09 21:00:00, , , , , , 831.8, 877.6
2012-03-09 22:00:00, , , , , , 858.9, 858.9
2012-03-09 23:00:00, , , , , , 868.8, 860.4
2012-03-10 00:00:00, , , , , , 816.2, 769.8
2012-03-10 01:00:00, , , , , , 835.0, 792.8
2012-03-10 02:00:00, , , , , , 782.2, 750.5
2012-03-10 03:00:00, , , , , , 781.3, 759.5
2012-03-10 04:00:00, , , , , , 774.5, 748.8
2012-03-10 05:00:00, , , , , , 748.2, 721.1
2012-03-10 06:00:00, , , , , , 736.4, 708.9
2012-03-10 07:00:00, , , , , , 723.4, 646.1
2012-03-10 08:00:00, , , , , , 730.2, 675.9
2012-03-10 09:00:00, , , , , , 741.3, 708.3
2012-03-10 10:00:00, , , , , , 733.2, 666.5
2012-03-10 11:00:00, , , , , , 758.9, 676.2
2012-03-10 12:00:00, , , , , , 775.3, 673.8
2012-03-10 13:00:00, , , , , , 763.7, 680.1
2012-03-10 14:00:00, , , , , , 786.1, 725.6
2012-03-10 15:00:00, , , , , , 769.5, 719.5
2012-03-10 16:00:00, , , , , , 785.3, 739.8
2012-03-10 17:00:00, , , , , , 780.2, 681.6
2012-03-10 18:00:00, , , , , , 761.0, 686.9
2012-03-10 19:00:00, , , , , , 796.7, 791.0
2012-03-10 20:00:00, , , , , , 804.1, 829.1
2012-03-10 21:00:00, , , , , , 894.9, 838.5
2012-03-10 22:00:00, , , , , , 876.4, 848.4
2012-03-10 23:00:00, , , , , , 844.4, 806.8
2012-03-11 00:00:00, , , , , , 790.7, 737.5
2012-03-11 01:00:00, , , , , , 789.6, 735.7
2012-03-11 03:00:00, , , , , , 784.7, 747.1
2012-03-11 04:00:00, , , , , , 780.7, 719.0
2012-03-11 05:00:00, , , , , , 766.5, 698.4
2012-03-11 06:00:00, , , , , , 756.6, 690.6
2012-03-11 07:00:00, , , , , , 748.3, 679.8
2012-03-11 08:00:00, , , , , , 753.0, 662.1
2012-03-11 09:00:00, , , , , , 751.4, 670.7
2012-03-11 10:00:00, , , , , , 773.0, 696.0
2012-03-11 11:00:00, , , , , , 777.1, 764.8
2012-03-11 12:00:00, , , , , , 779.9, 763.5
2012-03-11 13:00:00, , , , , , 776.9, 759.4
2012-03-11 14:00:00, , , , , , 779.9, 721.8
2012-03-11 15:00:00, , , , , , 791.5, 705.3
2012-03-11 16:00:00, , , , , , 782.5, 708.8
2012-03-11 17:00:00, , , , , , 801.9, 685.8
2012-03-11 18:00:00, , , , , , 824.8, 688.3
2012-03-11 19:00:00, , , , , , 796.6, 763.6
2012-03-11 20:00:00, , , , , , 836.8, 816.9
2012-03-11 21:00:00, , , , , , 849.0, 800.5
2012-03-11 22:00:00, , , , , , 863.7, 813.1
2012-03-11 23:00:00, , , , , , 862.0, 787.7
2012-03-12 00:00:00, , , , , , 875.9, 787.8
2012-03-12 01:00:00, , , , , , 821.9, 742.9
2012-03-12 02:00:00, , , , , , 828.3, 735.2
2012-03-12 03:00:00, , , , , , 835.2, 762.7
2012-03-12 04:00:00, , , , , , 816.3, 701.3
2012-03-12 05:00:00, , , , , , 799.5, 676.5
2012-03-12 06:00:00, , , , , , 768.1, 660.5
2012-03-12 07:00:00, , , , , , 786.3, 663.9
2012-03-12 08:00:00, , , , , , 786.2, 636.7
2012-03-12 09:00:00, , , , , , 781.0, 638.4
2012-03-12 10:00:00, , , , , , 778.3, 623.3
2012-03-12 11:00:00, , , , , , 790.6, 636.2
2012-03-12 12:00:00, , , , , , 805.8, 660.5
2012-03-12 13:00:00, , , , , , 790.8, 653.5
2012-03-12 14:00:00, , , , , , 754.5, 667.5
2012-03-12 15:00:00, , , , , , 777.2, 681.2
2012-03-12 16:00:00, , , , , , 783.4, 677.6
2012-03-12 17:00:00, , , , , , 796.5, 688.8
2012-03-12 18:00:00, , , , , , 782.5, 682.9
2012-03-12 19:00:00, , , , , , 808.0, 698.9
2012-03-12 20:00:00, , , , , , 894.4, 796.8
2012-03-12 21:00:00, , , , , , 901.0, 791.1
2012-03-12 22:00:00, , , , , , 938.1, 813.4
2012-03-12 23:00:00, , , , , , 928.2, 817.8
2012-03-13 00:00:00, , , , , , 890.3, 817.1
