Date, Barrett, Bundy, Hoerner, Mills, OA, Warren, Wilson
2012-03-01 00:00:00, , 33.0, , , , 17.9, 17.2
2012-04-01 00:00:00, 60.6, 33.2, , , , 17.7, 17.1
2012-05-01 00:00:00, 62.6, 31.9, , , , 18.3, 16.8
2012-06-01 00:00:00, 69.2, 27.9, , , 46.7, 14.6, 14.1
2012-07-01 00:00:00, 65.5, 28.3, , , 48.0, 15.7, 15.7
2012-08-01 00:00:00, 63.2, 40.8, , , 48.3, 15.8, 16.2
2012-09-01 00:00:00, 69.7, 39.1, , , 40.4, 16.4, 16.9
2012-10-01 00:00:00, 60.3, 34.8, , , 34.3, 16.4, 15.9
2012-11-01 00:00:00, 44.0, 33.4, , , , , 
2012-12-01 00:00:00, 45.3, 33.4, , , , , 
2013-01-01 00:00:00, 43.3, 34.9, 12.5, 63.5, 33.6, 15.8, 16.1
2013-02-01 00:00:00, 30.5, 34.9, 11.7, 65.8, 33.0, 15.2, 16.8
2013-03-01 00:00:00, 46.2, 33.2, 10.9, 66.2, 34.3, 16.3, 16.2
2013-04-01 00:00:00, 61.5, 34.0, 12.2, 63.8, 34.4, 15.7, 17.0
2013-05-01 00:00:00, 65.8, 33.8, 10.8, 62.1, 41.2, 16.1, 15.6
2013-06-01 00:00:00, 65.5, 24.4, 9.2, 60.0, 54.6, 13.1, 13.7
2013-07-01 00:00:00, 59.3, 26.2, 7.9, 59.4, 50.0, 12.4, 14.8
2013-08-01 00:00:00, 71.8, 37.6, 13.0, 63.8, 55.1, 16.1, 16.8
2013-09-01 00:00:00, 73.7, 34.8, 12.4, 64.1, 40.1, 16.6, 17.2
2013-10-01 00:00:00, 66.2, 33.6, 12.0, 63.4, 43.7, 16.6, 17.3
2013-11-01 00:00:00, 45.1, 34.1, 11.8, 63.8, 32.5, 16.6, 17.5
2013-12-01 00:00:00, 43.8, 32.1, 11.6, 63.3, 31.7, 15.6, 16.5
2014-01-01 00:00:00, 31.2, 34.2, 11.9, 63.9, 32.8, 16.7, 17.8
2014-02-01 00:00:00, 29.8, 35.2, 11.4, 69.2, 32.7, 15.9, 16.8
2014-03-01 00:00:00, 47.8, 34.0, 11.5, 65.5, 34.4, 16.9, 16.5
2014-04-01 00:00:00, 44.5, 34.4, 12.0, 65.2, 35.9, 15.8, 17.0
2014-05-01 00:00:00, 56.9, 32.7, 11.4, 61.4, 51.1, 15.9, 17.0
2014-06-01 00:00:00, 57.5, 28.3, 9.7, 59.7, 44.2, 13.1, 14.7
2014-07-01 00:00:00, 58.6, 26.0, 8.6, 58.2, 40.4, 12.6, 14.0
2014-08-01 00:00:00, 73.0, 31.9, 10.2, 59.8, 40.4, 12.4, 14.5
