Date, Barrett, Bundy, Hoerner, Mills, OA, Warren, Wilson
2012-03-01 00:00:00, , 9.6, , , , 11.0, 9.2
2012-04-01 00:00:00, 8.3, 9.2, , , , 10.8, 8.9
2012-05-01 00:00:00, 3.9, 8.3, , , , 10.4, 7.9
2012-06-01 00:00:00, 1.5, 8.6, , , 5.7, 10.1, 7.9
2012-07-01 00:00:00, 3.1, 10.2, , , 4.3, 8.9, 8.5
2012-08-01 00:00:00, 4.6, 9.7, , , 4.1, 9.3, 8.3
2012-09-01 00:00:00, 4.2, 10.6, , , 5.4, 9.4, 8.1
2012-10-01 00:00:00, 6.0, 9.3, , , 5.3, 10.0, 8.3
2012-11-01 00:00:00, 6.0, 8.8, , , , , 
2012-12-01 00:00:00, 4.7, 8.1, , , , , 
2013-01-01 00:00:00, 3.8, 8.4, 5.4, 33.7, 8.7, 8.7, 9.0
2013-02-01 00:00:00, 6.5, 8.2, 4.6, 20.9, 6.7, 8.4, 8.8
2013-03-01 00:00:00, 6.3, 9.0, 4.4, 15.1, 3.5, 9.1, 8.8
2013-04-01 00:00:00, 6.5, 9.1, 4.5, 33.1, 3.0, 8.5, 8.9
2013-05-01 00:00:00, 6.3, 4.8, 3.9, 28.5, 5.4, 6.6, 7.1
2013-06-01 00:00:00, 5.6, 4.7, 3.5, 27.7, 2.0, 6.7, 7.1
2013-07-01 00:00:00, 3.4, 1.7, 4.1, 32.2, 1.9, 6.8, 7.2
2013-08-01 00:00:00, 3.3, 4.1, 3.7, 18.8, 1.6, 5.6, 8.1
2013-09-01 00:00:00, 4.6, 8.2, 5.9, 31.4, 2.9, 6.4, 9.1
2013-10-01 00:00:00, 4.7, 6.4, 5.7, 20.1, 2.4, 6.3, 9.0
2013-11-01 00:00:00, 6.0, 6.0, 5.3, 12.1, 3.0, 6.3, 8.8
2013-12-01 00:00:00, 4.8, 3.3, 4.4, 31.2, 2.1, 5.9, 8.9
2014-01-01 00:00:00, 5.5, 8.0, 5.0, 32.6, 3.1, 6.0, 8.4
2014-02-01 00:00:00, 3.3, 8.8, 5.2, 17.0, 7.9, 6.2, 8.2
2014-03-01 00:00:00, 4.0, 9.2, 5.1, 32.9, 5.4, 6.5, 8.0
2014-04-01 00:00:00, 6.4, 8.8, 4.8, 31.2, 4.6, 6.3, 7.9
2014-05-01 00:00:00, 4.6, 7.2, 4.5, 10.0, 4.6, 4.9, 7.3
2014-06-01 00:00:00, 4.0, 7.4, 3.5, 10.3, 3.5, 4.8, 6.6
2014-07-01 00:00:00, 6.7, 6.5, 4.2, 20.3, 3.3, 5.2, 6.9
2014-08-01 00:00:00, 6.3, 6.9, 4.2, 31.1, 2.7, 4.9, 7.6
