Date, Barrett, Bundy, Hoerner, Mills, OA, Warren, Wilson
2012-03-05 00:00:00, , , , , , , 16.1
2012-03-12 00:00:00, 58.2, 29.3, , , , 17.7, 16.4
2012-03-19 00:00:00, 59.7, 33.0, , , , 17.9, 17.2
2012-03-26 00:00:00, 58.1, 33.0, , , , 17.2, 17.0
2012-04-02 00:00:00, 46.7, 33.0, , , , 17.2, 17.1
2012-04-09 00:00:00, 51.5, 33.0, , , , 17.7, 16.6
2012-04-16 00:00:00, 60.6, 33.2, , , , 17.6, 16.1
2012-04-23 00:00:00, 46.8, 31.1, , , , 17.6, 16.5
2012-04-30 00:00:00, 62.6, 31.9, , , , 18.3, 16.8
2012-05-07 00:00:00, 57.3, 28.1, , , , 15.5, 16.1
2012-05-14 00:00:00, 43.0, 17.2, , , , 14.2, 14.9
2012-05-21 00:00:00, 55.9, 25.9, , , , 15.6, 12.6
2012-05-28 00:00:00, 44.2, 26.0, , , , 13.4, 13.7
2012-06-04 00:00:00, 45.4, 24.5, , , , 14.6, 13.0
2012-06-11 00:00:00, 56.1, 27.9, , , , 14.4, 13.2
2012-06-18 00:00:00, 46.7, 25.3, , , , 13.0, 14.0
2012-06-25 00:00:00, 69.2, 27.7, , , 46.7, 14.2, 14.1
2012-07-02 00:00:00, 65.5, 25.4, , , 47.1, 13.1, 14.2
2012-07-09 00:00:00, 54.7, 26.5, , , 40.4, 14.3, 14.2
2012-07-16 00:00:00, 65.4, 26.4, , , 47.4, 14.2, 15.5
2012-07-23 00:00:00, 59.2, 28.3, , , 48.0, 15.7, 15.2
2012-07-30 00:00:00, 57.0, 28.8, , , 48.3, 15.7, 15.7
2012-08-06 00:00:00, 51.1, 30.8, , , 39.8, 15.8, 15.1
2012-08-13 00:00:00, 50.0, 36.2, , , 32.4, 14.9, 15.4
2012-08-20 00:00:00, 61.5, 39.2, , , 41.3, 14.6, 16.2
2012-08-27 00:00:00, 64.4, 40.8, , , 40.4, 15.2, 16.3
2012-09-03 00:00:00, 69.7, 39.1, , , 39.9, 15.1, 16.0
2012-09-10 00:00:00, 48.0, 36.3, , , 40.2, 15.7, 16.9
2012-09-17 00:00:00, 52.6, 36.4, , , 32.9, 16.4, 16.0
2012-09-24 00:00:00, 54.9, 34.8, , , 34.5, 16.0, 15.8
2012-10-01 00:00:00, 53.8, 34.8, , , 29.0, 16.4, 15.8
2012-10-08 00:00:00, 43.3, 33.7, , , 34.3, 15.7, 15.9
2012-10-15 00:00:00, 49.9, 33.2, , , , , 
2012-10-22 00:00:00, 60.3, 33.8, , , , , 
2012-10-29 00:00:00, 26.9, 33.5, , , , , 
2012-11-05 00:00:00, 29.0, 33.4, , , , , 
2012-11-12 00:00:00, 28.7, 33.4, , , , , 
2012-11-19 00:00:00, 44.0, 30.4, , , , , 
2012-11-26 00:00:00, 43.5, 33.1, , , , , 
2012-12-03 00:00:00, 45.3, 33.4, , , , , 
2012-12-10 00:00:00, 26.6, 32.8, , , , , 
2012-12-17 00:00:00, 23.8, 26.1, , , , , 
2012-12-24 00:00:00, 27.1, 26.4, , , , , 
2012-12-31 00:00:00, 27.1, 27.7, , , , , 
2013-01-07 00:00:00, 41.1, 29.4, , , , , 
2013-01-14 00:00:00, 28.9, 34.0, 10.6, 63.5, 30.9, 15.8, 15.7
2013-01-21 00:00:00, 29.0, 33.9, 12.5, 63.4, 33.6, 15.7, 16.1
2013-01-28 00:00:00, 43.3, 34.9, 11.7, 65.8, 30.4, 15.3, 15.6
2013-02-04 00:00:00, 30.5, 33.5, 10.7, 63.8, 31.7, 15.1, 15.4
2013-02-11 00:00:00, 29.3, 34.0, 10.8, 63.4, 31.6, 15.2, 16.4
2013-02-18 00:00:00, 29.8, 34.9, 11.2, 63.8, 31.1, 14.8, 16.8
2013-02-25 00:00:00, 27.2, 32.6, 10.1, 63.5, 33.0, 15.3, 16.2
2013-03-04 00:00:00, 46.2, 33.2, 10.9, 64.7, 32.4, 15.5, 15.9
2013-03-11 00:00:00, 40.8, 32.7, 10.1, 63.5, 31.0, 15.1, 15.3
2013-03-18 00:00:00, 29.4, 33.1, 9.9, 65.8, 34.3, 15.6, 15.3
2013-03-25 00:00:00, 28.4, 32.9, 10.6, 66.2, 32.4, 16.3, 16.0
2013-04-01 00:00:00, 58.8, 32.5, 10.5, 63.8, 30.6, 15.7, 15.2
2013-04-08 00:00:00, 60.6, 33.7, 10.7, 62.5, 31.7, 15.4, 17.0
2013-04-15 00:00:00, 61.5, 33.3, 12.2, 63.7, 34.2, 15.0, 16.1
2013-04-22 00:00:00, 51.2, 34.0, 9.7, 62.4, 34.4, 15.0, 15.7
2013-04-29 00:00:00, 52.7, 33.0, 10.8, 62.1, 34.6, 16.1, 15.6
2013-05-06 00:00:00, 55.8, 32.5, 10.6, 60.6, 33.8, 15.4, 15.0
2013-05-13 00:00:00, 57.7, 33.8, 8.8, 60.4, 39.2, 14.2, 13.6
2013-05-20 00:00:00, , 25.1, , 38.9, 27.8, 10.0, 12.3
2013-05-27 00:00:00, 65.8, 17.2, 7.5, 53.4, 41.2, 9.4, 12.2
2013-06-03 00:00:00, 51.2, 24.4, 7.5, 55.4, 38.1, 12.4, 13.7
2013-06-10 00:00:00, 57.3, 24.3, 9.2, 56.6, 46.9, 12.6, 13.6
2013-06-17 00:00:00, 57.2, 21.4, 6.9, 59.2, 53.5, 13.1, 12.9
2013-06-24 00:00:00, 65.5, 23.6, 7.4, 60.0, 54.6, 12.5, 12.8
2013-07-01 00:00:00, 56.1, 20.8, 6.9, 59.4, 34.1, 12.4, 13.2
2013-07-08 00:00:00, 59.0, 26.2, 6.9, 58.5, 50.0, 12.1, 12.2
2013-07-15 00:00:00, 59.3, 24.4, 6.9, 59.2, 41.3, 12.0, 13.9
2013-07-22 00:00:00, 58.6, 23.6, 7.0, 58.4, 37.3, 11.2, 14.8
2013-07-29 00:00:00, 63.2, 25.6, 7.9, 58.8, 34.1, 12.6, 15.5
2013-08-05 00:00:00, 69.5, 25.9, 7.7, 59.7, 37.0, 13.7, 15.8
2013-08-12 00:00:00, 57.7, 34.0, 10.4, 60.1, 39.3, 15.3, 15.0
2013-08-19 00:00:00, 71.8, 37.6, 11.1, 63.8, 42.3, 16.1, 16.4
2013-08-26 00:00:00, 57.8, 35.5, 13.0, 61.9, 55.1, 16.0, 16.8
2013-09-02 00:00:00, 55.0, 34.2, 12.4, 61.4, 38.1, 15.8, 17.2
2013-09-09 00:00:00, 57.7, 34.4, 12.3, 61.8, 40.1, 15.7, 16.6
2013-09-16 00:00:00, 73.7, 32.5, 11.2, 61.7, 38.9, 15.5, 17.1
2013-09-23 00:00:00, 50.5, 33.8, 11.8, 64.1, 37.1, 16.3, 17.0
2013-09-30 00:00:00, 66.2, 33.6, 11.5, 62.1, 43.7, 16.6, 17.3
2013-10-07 00:00:00, 42.9, 32.9, 12.0, 60.6, 33.2, 15.5, 16.5
2013-10-14 00:00:00, 46.5, 32.1, 11.5, 60.7, 34.3, 15.4, 17.1
2013-10-21 00:00:00, 33.3, 33.2, 11.4, 62.1, 30.5, 16.0, 16.9
2013-10-28 00:00:00, 45.2, 33.0, 11.7, 63.8, 35.6, 15.3, 17.0
2013-11-04 00:00:00, 29.2, 34.1, 11.3, 60.1, 32.5, 16.6, 17.5
2013-11-11 00:00:00, 45.1, 32.5, 11.8, 62.2, 31.6, 16.2, 16.6
2013-11-18 00:00:00, 27.7, 32.5, 11.8, 63.7, 31.0, 15.6, 16.4
