Date, Barrett, Bundy, Hoerner, Mills, OA, Warren, Wilson
2012-03-05 00:00:00, , , , , , , 9.7
2012-03-12 00:00:00, 0.0, 9.6, , , , 11.2, 9.3
2012-03-19 00:00:00, 8.1, 9.6, , , , 11.0, 9.5
2012-03-26 00:00:00, 8.4, 9.6, , , , 11.0, 9.2
2012-04-02 00:00:00, 8.3, 9.6, , , , 10.8, 9.3
2012-04-09 00:00:00, 8.4, 9.6, , , , 10.8, 9.2
2012-04-16 00:00:00, 8.4, 9.9, , , , 10.8, 8.9
2012-04-23 00:00:00, 8.7, 9.2, , , , 10.8, 9.1
2012-04-30 00:00:00, 8.2, 8.7, , , , 10.9, 8.7
2012-05-07 00:00:00, 6.5, 9.2, , , , 10.5, 8.9
2012-05-14 00:00:00, 7.1, 8.4, , , , 10.5, 8.2
2012-05-21 00:00:00, 4.7, 8.3, , , , 10.4, 7.9
2012-05-28 00:00:00, 1.5, 8.6, , , , 10.8, 8.2
2012-06-04 00:00:00, 3.9, 8.6, , , , 10.5, 7.9
2012-06-11 00:00:00, 2.9, 10.2, , , , 10.4, 7.9
2012-06-18 00:00:00, 4.8, 10.2, , , , 10.1, 8.6
2012-06-25 00:00:00, 4.6, 10.2, , , 4.7, 10.4, 8.7
2012-07-02 00:00:00, 5.2, 10.3, , , 5.6, 10.3, 9.0
2012-07-09 00:00:00, 5.0, 10.2, , , 5.2, 8.9, 9.0
2012-07-16 00:00:00, 4.7, 10.2, , , 4.9, 9.3, 8.5
2012-07-23 00:00:00, 4.5, 10.4, , , 4.3, 9.6, 8.5
2012-07-30 00:00:00, 3.1, 9.7, , , 4.8, 10.2, 8.9
2012-08-06 00:00:00, 4.6, 10.7, , , 4.1, 10.0, 8.8
2012-08-13 00:00:00, 4.9, 11.0, , , 4.2, 9.3, 8.3
2012-08-20 00:00:00, 6.0, 13.1, , , 4.9, 9.7, 8.6
2012-08-27 00:00:00, 7.2, 13.4, , , 5.0, 9.6, 8.5
2012-09-03 00:00:00, 6.5, 12.7, , , 5.6, 9.5, 8.1
2012-09-10 00:00:00, 4.2, 11.6, , , 5.9, 9.4, 8.3
2012-09-17 00:00:00, 4.4, 11.0, , , 5.5, 10.3, 8.2
2012-09-24 00:00:00, 4.7, 10.6, , , 5.4, 10.4, 8.2
2012-10-01 00:00:00, 6.5, 10.4, , , 5.3, 10.5, 8.3
2012-10-08 00:00:00, 6.0, 9.3, , , 7.0, 10.0, 8.5
2012-10-15 00:00:00, 6.1, 9.9, , , , , 
2012-10-22 00:00:00, 6.5, 9.6, , , , , 
2012-10-29 00:00:00, 6.5, 9.4, , , , , 
2012-11-05 00:00:00, 6.8, 9.5, , , , , 
2012-11-12 00:00:00, 6.0, 9.5, , , , , 
2012-11-19 00:00:00, 6.1, 8.8, , , , , 
2012-11-26 00:00:00, 6.9, 9.2, , , , , 
2012-12-03 00:00:00, 6.5, 9.3, , , , , 
2012-12-10 00:00:00, 4.7, 8.2, , , , , 
2012-12-17 00:00:00, 4.7, 8.1, , , , , 
2012-12-24 00:00:00, 4.8, 8.4, , , , , 
2012-12-31 00:00:00, 3.8, 8.4, , , , , 
2013-01-07 00:00:00, 4.9, 8.6, , , , , 
2013-01-14 00:00:00, 6.9, 9.2, 5.5, 35.3, 9.0, 9.7, 9.2
2013-01-21 00:00:00, 5.5, 9.2, 5.6, 35.6, 9.6, 10.5, 9.0
